source_id,source_name,country_or_region,trust_category,access_status,allowed_for_model_training,allowed_for_dashboard,allowed_for_regional_context,patient_level_available,molecular_fields_available,treatment_outcome_available,curation_status,mandatory_label,notes
LIT_China_42123577,Coordinated Multicellular Immune Programs and Drug Targets Revealed by Single-Cell Analysis in Driver-Mutated NSCLC.,China,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_China_42164113,Dacomitinib in Combination with chemotherapy is effective in lung adenocarcinoma with rare &lt;i&gt;EGFR&lt;/i&gt; L747P mutation and bone metastases: a case report.,China,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_China_42181867,Response to crizotinib treatment for ROS1 p.H1999N mutation and secondary EGFR p.V774M mutation after drug resistance: a Case Report.,China,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_China_42222664,Initial Low-Dose Dacomitinib for First-Line Treatment of Patients With EGFR Exon 21-Mutated Non-Small-Cell Lung Cancer.,China,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_China_41863042,Coronavirus disease 2019 infection reduces EGFR-TKI efficacy in non-small cell lung carcinoma: Real-world evidence from a multicenter propensity-matched cohort.,China,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_China_42205749,Case Report: Personalized treatment in an advanced lung adenocarcinoma patient with EGFR exon 21 L858R mutations based on the patient-derived tumor organoids.,China,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_China_42163810,Identification of Key Genes and Clinical Feature Analyses of Epidermal Growth Factor Receptor Mutations in Lung Adenocarcinoma.,China,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_China_42152346,"Prediction of ALK, EGFR and KRAS mutations in lung adenocarcinoma based on PET/CT radiomics by cluster and synthetic minority over-sampling technique.",China,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_China_42185471,Optimal treatment strategies for EGFR mutant advanced lung adenocarcinoma patients with targeted therapy resistance and correlation analysis of PD-L1 expression with ICI efficacy.,China,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_China_42068110,Age-Associated Targetable Genomic Alterations and PD-L1 Expression in 2509 Patients With Pulmonary Ground-Glass Opacities.,China,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_China_42125158,Pulmonary Cryptococcal Infection Complicating Gefitinib Therapy in a Patient With EGFR L858R-Positive Lung Adenocarcinoma: A Case Report.,China,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Egypt_40729086,Predictive and Prognostic Significance of Serum Neuron-Specific Enolase in Patients with Metastatic Non-Small Cell Lung Cancer Receiving Gefitinib: A Prospective Study from South Egypt Cancer Institute.,Egypt,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Egypt_40927306,Prevalence of Molecular Mutations in Non-Small Cell Lung Cancer and Current Treatment Approaches in the MENA Region: Systematic Review and Expert Opinion.,Egypt,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Egypt_40653556,"Non-small cell lung cancer (NSCLC): characteristics, risk factors, molecular profile patterns, and treatment - a retrospective cohort study from Palestine.",Egypt,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Egypt_41282608,Anlotinib added to third generation EGFR tyrosine kinase inhibitor therapy for advanced NSCLC patients with oligo-progression: a retrospective study (ALTER-L058).,Egypt,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Egypt_41934916,Synergistic effects through targeting the PI3K and IGFR pathways in treating lung cancer carrying activation alterations along the PI3K pathway.,Egypt,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Egypt_41048344,Key genes associated with brain metastasis in non-small cell lung cancer: novel insights from bioinformatics analysis.,Egypt,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Egypt_41327362,Clinical significance of HPV DNA and EGFR mutations in Egyptian NSCLC.,Egypt,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Egypt_41471277,Broad-Spectrum RAS Inhibition in Pancreatic Ductal Adenocarcinoma: Mechanistic Advances and Therapeutic Promise.,Egypt,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Egypt_42194957,Clinical Applications of Liquid Biopsy in Colorectal Cancer: A Focus on Registered Clinical Trials.,Egypt,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Egypt_43,Development of a multi-targeted sulfonyl-bridged bisselenadiazole derivative as a potent EGFR/PI3K/AKT/mTOR modulator in lung adenocarcinoma,Egypt,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Egypt_42096170,Genetic influence of PPAR-γ rs1801282 and MTRR rs162036 variants on non-small cell lung cancer risk in Egyptians.,Egypt,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Egypt_40740271,Rare Case of Duodenal Metastasis From Colon Cancer: Review of Literature and Insights on Novel Therapies.,Egypt,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_France_42158415,High prevalence of targetable drivers but poor outcomes in lung adenocarcinoma: a real-world cohort from the French West Indies.,France,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_France_41659723,Brain metastases from non-small cell lung cancer: molecular subtypes and emerging CNS-directed precision therapies.,France,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_France_41619151,First Line and Treatment Sequencing in EGFR-Mutated Metastatic NSCLC: What is Right for Which Patient?,France,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_France_41930305,Automated extraction of temporalized tumor evolution from oncology EMRs using natural language processing.,France,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_France_41671632,Genomic landscape of stage 0-IA lung adenocarcinoma identified by on-site reflex targeted NGS.,France,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_France_41170454,Case Report: Trametinib in the treatment of patients with metastatic lung adenocarcinoma harboring &lt;i&gt;NF1&lt;/i&gt; mutation: a case series and literature review.,France,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_France_41211715,Deep Learning Predicts EGFR Mutation Status from Histology Images in Non-Small Cell Lung Cancer.,France,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_France_42170257,Prolonged complete metabolic response to chemotherapy combined with amivantamab with high grade cutaneous toxicity after osimertinib resistance in an uncommon &lt;i&gt;T751_I759delinsAsp&lt;/i&gt; &lt;i&gt;EGFR&lt;/i&gt;-mutant lung adenocarcinoma: a case report.,France,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_France_41686417,Real-World Clinical Outcomes and Treatment Patterns in Advanced/Metastatic EGFR-Mutant NSCLC After Progression on First-Line Osimertinib for French Patients.,France,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_France_41907704,Osimertinib for Patients With EGFR-Mutated Non-Small Cell Lung Cancer: Current Evidence.,France,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_France_41691060,Sortilin exhibits tumor suppressor-like activity by limiting EGFR transduction function.,France,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_France_41681945,"Radiological, Radiomics, and Metastatic Patterns Associated with Targetable Oncogenic Drivers on CT-Scan of Newly Diagnosed NSCLC Patients: A Comprehensive Radiogenomics Review.",France,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Germany_41595141,Molecular Pathology of Advanced NSCLC: Biomarkers and Therapeutic Decisions.,Germany,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Germany_41387924,"Prognostic Implications of SMARCA4, ARID1A, and Other BAF Mutations in Non-Small Cell Lung Cancer.",Germany,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Germany_42187561,A Case of Primary &lt;i&gt;EGFR&lt;/i&gt; T790M Mutation in Treatment-Naïve Advanced NSCLC: Clinical and Molecular Implications.,Germany,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Germany_42055889,"A Retrospective, Multicenter Analysis Within the National Network Genomic Medicine Lung Cancer in Germany to Detect RET Fusions as a Possible Mechanism of Resistance in Patients With EGFR Mutations.",Germany,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Germany_41310499,Prevalence and therapeutic response of EGFR T790I mutation in NSCLC patients with acquired resistance to EGFR-TKIs: a retrospective cohort study.,Germany,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Germany_41942607,Furmonertinib combined with bevacizumab in EGFR-TKI-resistant leptomeningeal metastasis: analysis of the CSF ctDNA molecular response and survival outcomes.,Germany,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Germany_41529505,Mutational landscape of lung adenocarcinoma in Czechia.,Germany,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Germany_42106797,"CASK promotes non-small cell lung cancer growth through coordinated regulation of EGFR expression, trafficking, and p21 expression.",Germany,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Germany_41771797,Clinicopathological characteristics of patients with inoperable non-small cell lung cancer harboring circulating NRF2 pathway mutations.,Germany,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Germany_42157246,Outcome of patients with lung cancer treated with stereotactic body radiotherapy for bone oligometastases - a European multicenter cohort study.,Germany,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Germany_42030491,Sensitive Detection of Epidermal Growth Factor in Lung Cancer Patients by Electrochemical Biosensors.,Germany,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Germany_42093990,"Rewiring the immune response in lung cancer: current progress in bispecific antibodies, CAR-T therapy, and the rise of &lt;i&gt;in vivo&lt;/i&gt; CAR-T platforms.",Germany,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Germany_42062619,Genetic characteristics and targeted treatments of primary bladder and urachal adenocarcinomas: a systematic review with pooled descriptive genomic analyses.,Germany,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_Germany_42017975,Artificial intelligence construction: a review of the bridge between CT imaging features of lung ground-glass nodules adenocarcinoma and carcinogenic driver genes.,Germany,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_India_42109065,Impact of EGFR Mutations on Survival and Clinical Response in Non-Small Cell Lung Cancer in a Tertiary Care Hospital.,India,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_India_42051259,Case Report: A successful rechallenge with aumolertinib after osimertinib-induced severe interstitial lung disease.,India,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_India_41479892,Case Report: Ivonescimab in EGFR-mutant lung cancer with baseline malignant pleural effusion and acquired complex resistance.,India,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
LIT_India_42131879,Pattern of resistance on first-line EGFR-directed therapy in EGFR-positive metastatic NSCLC.,India,REGIONAL_PREVALENCE_CONTEXT,literature_candidate_pending_manual_review,False,False,True,False,summary only until reviewed,False,PENDING_MANUAL_REVIEW,"regional context candidate, not training data",Use only after manual extraction/verification of prevalence values; never as patient-level data.
